ndrops,theta,R,rr,width,height,psi0,substrate
21,10,150,40,12,0.6076898795116819,0.08,uniform
1,10,150,80,26,1.2153797590233637,0.17333333333333334,uniform
23,10,160,30,8,0.45576740963375784,0.05,patterned
17,10,160,40,12,0.6076898795116819,0.075,patterned
1,10,160,60,20,0.9115348192675157,0.125,patterned
1,10,160,80,26,1.2153797590233637,0.1625,patterned
1,10,160,100,34,1.5192246987791975,0.2125,patterned
24,10,180,30,8,0.45576740963375784,0.044444444444444446,patterned
24,10,180,40,12,0.6076898795116819,0.06666666666666667,uniform
22,10,180,40,12,0.6076898795116819,0.06666666666666667,patterned
1,10,180,60,20,0.9115348192675157,0.1111111111111111,patterned
1,10,180,80,26,1.2153797590233637,0.14444444444444443,uniform
1,10,180,100,34,1.5192246987791975,0.18888888888888888,patterned
30,10,200,30,8,0.45576740963375784,0.04,patterned
26,10,200,40,12,0.6076898795116819,0.06,uniform
24,10,200,40,12,0.6076898795116819,0.06,patterned
1,10,200,60,20,0.9115348192675157,0.1,patterned
1,10,200,80,26,1.2153797590233637,0.13,uniform
1,10,200,100,34,1.5192246987791975,0.17,patterned
1,20,80,40,26,2.4122951685636593,0.325,uniform
1,20,120,40,26,2.4122951685636593,0.21666666666666667,uniform
1,20,120,80,54,4.824590337127319,0.45,uniform
20,20,150,20,12,1.2061475842818297,0.08,uniform
1,20,150,40,26,2.4122951685636593,0.17333333333333334,uniform
1,20,150,80,54,4.824590337127319,0.36,uniform
15,20,160,20,12,1.2061475842818297,0.075,patterned
12,20,160,30,20,1.809221376422748,0.125,patterned
8,20,160,40,26,2.4122951685636593,0.1625,patterned
1,20,160,60,40,3.618442752845496,0.25,patterned
1,20,160,80,54,4.824590337127319,0.3375,patterned
1,20,160,100,68,6.030737921409155,0.425,patterned
23,20,180,20,12,1.2061475842818297,0.06666666666666667,uniform
20,20,180,20,12,1.2061475842818297,0.06666666666666667,patterned
10,20,180,30,20,1.809221376422748,0.1111111111111111,patterned
8,20,180,40,26,2.4122951685636593,0.14444444444444443,uniform
8,20,180,40,26,2.4122951685636593,0.14444444444444443,patterned
1,20,180,60,40,3.618442752845496,0.2222222222222222,patterned
1,20,180,80,54,4.824590337127319,0.3,uniform
1,20,180,80,54,4.824590337127319,0.3,patterned
1,20,180,100,68,6.030737921409155,0.37777777777777777,patterned
27,20,200,20,12,1.2061475842818297,0.06,uniform
22,20,200,20,12,1.2061475842818297,0.06,patterned
16,20,200,30,20,1.809221376422748,0.1,patterned
9,20,200,40,26,2.4122951685636593,0.13,uniform
8,20,200,40,26,2.4122951685636593,0.13,patterned
1,20,200,60,40,3.618442752845496,0.2,patterned
1,20,200,80,54,4.824590337127319,0.27,uniform
1,20,200,80,54,4.824590337127319,0.27,patterned
1,20,200,100,68,6.030737921409155,0.34,patterned
12,30,150,20,18,2.6794919243112254,0.12,uniform
1,30,150,40,38,5.358983848622451,0.25333333333333335,uniform
1,30,150,80,78,10.717967697244902,0.52,uniform
8,30,160,20,18,2.6794919243112254,0.1125,patterned
8,30,160,30,28,4.01923788646684,0.175,patterned
1,30,160,40,38,5.358983848622451,0.2375,patterned
1,30,160,60,58,8.03847577293368,0.3625,patterned
1,30,160,80,78,10.717967697244902,0.4875,patterned
1,30,160,100,98,13.397459621556123,0.6125,patterned
12,30,180,20,18,2.6794919243112254,0.1,uniform
7,30,180,20,18,2.6794919243112254,0.1,patterned
8,30,180,30,28,4.01923788646684,0.15555555555555556,patterned
1,30,180,40,38,5.358983848622451,0.2111111111111111,uniform
4,30,180,40,38,5.358983848622451,0.2111111111111111,patterned
1,30,180,60,58,8.03847577293368,0.32222222222222224,patterned
1,30,180,80,78,10.717967697244902,0.43333333333333335,uniform
1,30,180,80,78,10.717967697244902,0.43333333333333335,patterned
1,30,180,100,98,13.397459621556123,0.5444444444444444,patterned
16,30,200,20,18,2.6794919243112254,0.09,uniform
8,30,200,20,18,2.6794919243112254,0.09,patterned
8,30,200,30,28,4.01923788646684,0.14,patterned
1,30,200,40,38,5.358983848622451,0.19,uniform
6,30,200,40,38,5.358983848622451,0.19,patterned
1,30,200,60,58,8.03847577293368,0.29,patterned
1,30,200,80,78,10.717967697244902,0.39,uniform
1,30,200,100,98,13.397459621556123,0.49,patterned
8,40,150,20,24,4.67911113762044,0.16,uniform
1,40,150,40,50,9.35822227524088,0.3333333333333333,uniform
3,40,160,20,24,4.67911113762044,0.15,patterned
2,40,160,30,38,7.018666706430661,0.2375,patterned
1,40,160,40,50,9.35822227524088,0.3125,patterned
8,40,180,20,24,4.67911113762044,0.13333333333333333,uniform
2,40,180,20,24,4.67911113762044,0.13333333333333333,patterned
2,40,180,30,38,7.018666706430661,0.2111111111111111,patterned
1,40,180,40,50,9.35822227524088,0.2777777777777778,patterned
1,40,180,40,50,9.35822227524088,0.2777777777777778,uniform
12,40,200,20,24,4.67911113762044,0.12,uniform
5,40,200,20,24,4.67911113762044,0.12,patterned
3,40,200,30,38,7.018666706430661,0.19,patterned
1,40,200,40,50,9.35822227524088,0.25,uniform
1,40,200,40,50,9.35822227524088,0.25,patterned